Nama,Alamat,Wilayah,Latitude,Longitude
Jaya Motor Rembang,Jl. Gajah Mada,"Magersari, Kabupaten Rembang",-6.702135,111.326891
Honda Prima Kendal,JL. HABIPROYO NO.28,"Pegulon, Kabupaten Kendal",-6.92257,110.202313
Honda Nusantara Sakti,Jl. Yos Sudarso No.9 Kel.Mintaragen,"Mintaragen, Kabupaten Tegal",-6.85526,109.1419
Cendana Giri Purworejo,Jl. Brigjend Katamso No. 44 A,"Pangenrejo, Kabupaten Purworejo",-7.726389,110.003889
Kompo Motor Sokaraja,Jl. Jend. Sudirman RT 002/003,"Sei/Sungai Pinyuh, Kabupaten Banyumas",-7.456389,109.291667
Comal Abadi Motor Taman,Jl. Perintis Kemerdekaan,"Taman, Kabupaten Pemalang",-6.89436,109.42254
Prima Zirang Utama Kudus,Jl. R. Agil Kusumadya 22,"Jati Kulon, Kabupaten Kudus",-6.827407,110.831516
Cahaya Sakti Motor Wonogiri,Jl A. Yani No 108,"Banjar Agung, Kabupaten Wonogiri",-7.805958,110.921763
Sanjaya Motor Sidareja,Jend Sudirman n0.166 Sidareja,Kabupaten Cilacap,-7.486389,108.810278
Zirang Honda Brebes,Jln P Diponegoro No 150 RT 5 RW 1,"Pesantunan, Kabupaten Brebes",-6.868815,109.033047
Naga Mas Motor,Jl. Pandanaran no.347 RT 01/02,"Banaran, Kabupaten Boyolali",-7.519545,110.596802
Astra Motor Brebes 2 - Honda,Jl. Diponegoro,"Dukuhturi, Kabupaten Brebes",-7.256651,109.007293
Astra Motor Banjarnegara,JL. PEMUDA NO. 73 RT. 001 RW. 008,"Parakancanggah, Kabupaten Banjarnegara",-7.39207,109.69655
Astra Motor Center Semarang,Jln. Gajah Mada No. 88,"Bangunharjo, Kota Semarang",-6.978103,110.4211
Astra Motor Rembang 2,JL. Diponegoro No.15,"Tasikagung, Kabupaten Rembang",-6.704322,111.333966
Astra Motor Lasem,Jl. Raya Lasem No.62,"Gedongmulyo, Kabupaten Rembang",-6.696197,111.442341
PT. Netral Jaya Motor Sidareja,Jl. Jendral Sudirman 155 RT 03/04,"Sidareja, Kabupaten Cilacap",-7.485278,108.796111
Zirang Setiabudi,Jl. Setiabudi No.205A RT 2 RW 2,"Srondol Kulon, Kota Semarang",-7.058055,110.414249
Taruna Jaya Motor Karanganyar,"JL. LAWU NO. 243, TEGALWINANGUN","Tegalgede, Kabupaten Karanganyar",-7.60338,110.97041
Astra Motor Brebes 3,JALAN DIPONEGORO NO.160,"Pesantunan, Kabupaten Brebes",-6.867079,109.025688
Dealer Honda Nusantara Sakti Bumiayu,Jalan Diponegoro 187,"Dukuhturi, Kabupaten Brebes",-7.249433,109.006308
Honda Abadi Motor Parakan,JL KOSASIH NO 48,"Parakan Kauman, Kabupaten Temanggung",-7.28181,110.09939
Diler Resmi Motor Honda Terdekat Kebumen - Cendana Megah Lestari,JL. TENTARA PELAJAR NO. 50,"Panjer, Kabupaten Kebumen",-7.67314,109.67099
Astra Motor Tegal 2 (bongkok),Jl. Garuda Perum Bumi Bongkok Asri,"Melayu, Kabupaten Tegal",-6.883186,109.187063
Astra Motor Ungaran,Jl. Diponegoro No. 758 Ungaran,"Timbau, Kabupaten Semarang",-7.133289,110.403717
Astra Motor Kaliwungu,JL. RAYA BARAT NO 348,"Melayu, Kabupaten Kendal",-6.953358,110.240788
Nusantara Sakti Nguter,Jl. Raya Solo Wonogiri No.39 Nguter,"Yukum Jaya, Kabupaten Sukoharjo",-7.730989,110.869967
Astra Motor Purwodadi,JL. JEND. SUDIRMAN NO. 29,"Purwodadi, Kabupaten Grobogan",-7.07807,110.91646
Astra Motor Batang,JL. P. DIPONEGORO NO 2,"Proyonanggan Tengah, Kabupaten Batang",-6.90792,109.730839
Honda Prima Unggul Jaya,JL. WOLTER MONGINSIDI NO 17 A,"Tlogomulyo, Kota Semarang",-6.98663,110.47451
Astra Motor Purworejo,JL. JEND. SUDIRMAN NO.26A,"PURWOREJO, Kabupaten Purworejo",-7.719722,110.000556
Motor Bathara Sakti,Jl. Soekarno Hatta 18,Kota Semarang,-6.999722,110.465556
